@relation sentiment-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute tweet string
@attribute polarity {negative,positive}

@data
121,'is pissed off that theres no asbas for a radio station ',negative
122,'wednesday my bday n dont know what 2 do  ',negative
123,'i know my life has been flipped upside down when i just thought in my head that some ramen sounds good ',negative
124,'i am in pain my back and sides hurt not to mention crying is made of fail ',negative
125,'late night snack glass of oj bc im quotdown with the sicknessquot then back to sleepugh i hate getting sick ',negative
126,'username but but but im not a big fan on camilla belle ',negative
127,'username wah i cant see clip must be elstupido work filters cant wait till i get a puter something else 2 blame ex 4 he broke mine ',negative
128,'this week just seems to get longer and longer in terms of how much i need to do and how much im actually going to get done ',negative
129,'im so cold ',negative
130,'username ehh dont weathers gonna take a turn for the ugly tomorrow ',negative
131,'username haha its so coold in the d and no  but you should still go to the show they do some incredible stuff',negative
132,'hoping the tummy rumbles go away soon ',negative
133,'username no no notice they told me id be working tomorrow and then i called the agency to follow up and they said it was over ',negative
134,'almost bedtime ',negative
135,'im missing you babe  but as long as your alive im happy yawwnn im tired my love imma try to sleep hopefully you had a headstart',negative
136,'aghsnow ',negative
137,'i miss kenny powers ',negative
138,'username thank you for letting people know but now im sad that the direct message i got wasnt actually from bridget ',negative
139,'and india missed out its 100th test victory n 10th consecutive win without a loss ',negative
140,'username i guess thats a no then ',negative
141,'sadly is going to bed ',negative
142,'username shame to hear this stephan ',negative
143,'username hey im leavin in the morning ',negative
144,'was intending to finish editing my 536page novel manuscript tonight but that will probably not happen and only 12 pages are left ',negative
145,'laid around too much today now my head hurts ',negative
146,'username i still havent read the 9thamp10th princess diaries  saving francesca made me cry at the end hmm those are easy books',negative
147,'my nokia 110 died  ',negative
148,'my mom might have breast cancer wont find out anything for like a week im so worried ',negative
149,'going to sleep hoping tomorrow is a better day ',negative
150,'username lol wish they understood daylight savings has ended though and breakfast is an hour later  they keep waking the kids up too',negative
151,'username that is lame ',negative
152,'i dont understand i really dont ',negative
153,'heroes just isnt doing it for me this season ',negative
154,'living not downtown sure isnt much fun  ',negative
155,'username not calorie wise   i wish junk food was calorie free i ate a thing of sour skittles and a big ass cherry coke',negative
156,'man work is hard ',negative
157,'getting sick  time for some hot tea studying and then sleep',negative
158,'getting eyebrows waxed more pain ',negative
159,'no phantasy star yesterday  going to work',negative
160,'oh  just got all my macheist 30 apps  sweet didnt get the espresso serial no though although they said they sent it  oh well ',negative
161,'picked mich st to win it all from the get go  was feeling pretty good about that pick all the way up untiltonight  as lost too ',negative
162,'is alone downstairsworking ',negative
163,'i feel bad for doing it ',negative
164,'username is it just me or she hates anoop i mean seriously shes kinda mean to him ',negative
165,'username yes sprint has 4g only in baltimore and chicago so far ',negative
166,'im stuck awake in the middle of the night for the second day in a row and i felt terrible yesterday ',negative
167,'thanks for bursting my bubble ',negative
168,'going to school soon cant find anything to wear gosh its so hard ',negative
169,'username i was serious  lol',negative
170,'username i had on my page for soo long until it got deleted  sad day in history',negative
171,'crazy wind today  no birding  url',negative
172,'currently at work ',negative
173,'grr my ipods acting weird too jai ho and thinking of you arent playing the full songs ughh ',negative
174,'username send me the dvd cos i have missed out on heaps  not happy about that',negative
175,'i dont see the big deal with this website ',negative
176,'username im so sorry youre having to go through this again  therapyfail',negative
177,'username far too out of the way for rail  any other tips',negative
178,'im not still up i swear why do i keep losing gaining losing gaining tweeps  so heart wrenching',negative
179,'today i realized i am too good at hiding things even i cant find it ',negative
180,'staying at a friends househouse sitting neighbors are so loudhaving a party ',negative
181,'username danny im upset that i wasnt here to watch the live chat  i was in a car for 3 hours on a trip im soo upset',negative
182,'check out my mug  url',negative
183,'borders closed at 10 ',negative
184,'downloading nins new album quotthe slipquot  when the hell did this come out im so behind the times these days ',negative
185,'just woke up an already have written some email ive to go early at university today as i have to teach at 830 am ',negative
186,'is watching the hill   and its making me sad ',negative
187,'so many channels yet so so boring lazy day again  may have to find a hobby',negative
188,'username i miss my buddy  ill be in ny on the 25th',negative
189,'username  love the french i tell people here in the south im qtr french and they snarl at me  french are beautiful people',negative
190,'opps as i said i still got one day remain and now problem come ',negative
191,'i activated my selfcontrol block early meaning i cant check out the new qc  regularizing my internal clock is might be difficult fb',negative
192,'username  oh no',negative
193,'spencer is not a good guy ',negative
194,'username what about reese dying on ttsc and season finale next week  24 boring madame president is a crazy woman',negative
195,'username i hate the limited letterstoohope you and the guys are finei pray for my dogshes not well ',negative
196,'didnt get shit done today  im so screwed ',negative
197,'wanttss to go out ',negative
198,'is not going to sleep tonite ',negative
199,'too worried and tired to post tonight ',negative
200,'couldnt get shit done today  im so screwed ',negative
201,'job interview in cardiff today wish me luck got about 3 hours sleep ',negative
202,'username your show is whack way worse than whack its wiggetywhack    ',negative
203,'username i really dont think people choose to be that way but i think he chose not to accept my familys help   he might be dead by now',negative
204,'username youre going to kill me but ive not seen ds9 ive been waiting till i can do it in one solid week sitting ',negative
205,'username i think ur right hahaha 45 hrs now ',negative
206,'i hate to see the spartans so sad ',negative
207,'my mind and body are severely protesting this quotgetting upquot  thing had nightmares to boot ',negative
208,'username im goin to follow u since u didnt  lol  go angels',negative
209,'username ',negative
210,'username i think i want to read some books but the library doesnt have them ',negative
211,'my nap was interrupted so many times today  going out for japanese with the rents again',negative
212,'kind of longs for the bus that shows up at the end of ghost world right now ugh ',negative
213,'username but this is canada  canada is weird were supposed to get snow through wednesday ugh',negative
214,'awwh babs you look so sad underneith that shop entrance of quotyesterdays musikquot  o i like the look of the new transformer movie ',negative
215,'sad that the feet of my macbook just fell off ',negative
216,'im gonna get up late tomorrow and its 132am here i gonna get tipsy by my lonesome thatsthats just sad ',negative
217,'im sweating my forthcoming trip to e3  if i cant find someone to crash with while im out there i may be screwed  ',negative
218,'has now gotten somebody to read his tweets but cant get them to make an account ',negative
219,'username  omgawd i couldnt handle my cat being in heat all the time d d',negative
220,'username i hope i can make it to the auburn show but its not looking good for me ',negative
221,'username thats people mag haha i couldnt fit it all in i dont think those pictures ever made it in the magazine tho  haha',negative
222,'username congrats  i totally forgot to submit photos ',negative
223,'username aww good luck paula please dont work too hard  but i hope you have fun  your new album is gonna be amazing  xx',negative
224,'username now your leaving me   gets sad',negative
225,'i miss you twitter my phone broke now im using a stupid nokia phone ughh i miss my advance phone ',negative
226,'shooting outside my house o not kidding so scared ',negative
227,'tuesdayll start with reflection n then a lecture in stress reducing techniques that sure might become very useful for us accompaniers ',negative
228,'what tragedy and disaster in the news this week ',negative
229,'yes yes still trying to find a picture that will upload correclty ',negative
230,'why oh why was the red sox game rained out i was so looking forward to opening day ',negative
231,'i still cant find my keys ',negative
232,'username i know right i dunno what is going on with twitter ',negative
233,'might be getting a sore throat again ',negative
234,'username   my home town my mammy called all depressd  pls explain y a parent let their 8yr old child walk alone hello its 2009',negative
235,'username  i think i need to find better antidepressants  i think this paxilwellbutrin combo is losing its efficacy  ',negative
236,'username restaurant called woodntap has competitive eating tourney round tourney time we place 2nd ',negative
237,'is in the bathroom wake up lakin ',negative
238,'username i want tacos and margarhitas  tell gay i say hellolt3',negative
239,'im lonely  keep me company 22 female california',negative
240,'bad day at the betfair office ',negative
241,'i miss him  cant wait to celebrate the tar heel win this weekend though',negative
242,'im really cold i dont want to go to sleep yet but theres nothing to do ',negative
243,'username is this it 4 u its  officially over  4 me this go round ',negative
244,'monkeys i just found out you my twin and you wont even write back  im heartbroken',negative
245,'username aww  i know i felt like that yesterday at work ',negative
246,'username treaty isnt defined ',negative
247,'missed brent at praise band   no fun to not have the your lead guitarist  ltpoutgt',negative
248,'username poor john  this is what happens when you play with fruit and a microwave seriously though have you seen a doctor xxx',negative
249,'missing my bff  watching home and away it reminds me of her and me  we lt3 it shout out to u courts',negative
250,'username   ',negative
251,'new video card is doa ',negative
252,'feeling lost naked and confused jk sort ofno iphone for me ',negative
253,'damn i am so late at filling this appraisal form people have almost sent it  i was so occupied in work ',negative
254,'missed brent at praise band  no fun to not have your lead guitarist ltpoutgt',negative
255,'i think to much on the past i cant change it i deserved so much more then wat i got but why am i still thinking about him  gah',negative
256,'has lost his ring its nowhere to be seen ',negative
257,'username oooh sealclap see i download shitloads of zip folders off 4chan i have no internet moneys  fuck yeah alicia amp mikey',negative
258,'is still nursing my nile but glad he is feeling better i hate when my baby is sick ',negative
259,'is fucked to go back to ic ',negative
260,'username yoyoyo my internet has been rude tonight it just reconnected and im about to go to bed ',negative
261,'username well i have uni stuff and netball  but after netbal if ive done uni stuff we can',negative
262,'username me too i is poor ',negative
263,'help me forget 8th april amp 13th july ',negative
264,'dierks bentley is comin to columbus oh i wanna go so bad ',negative
265,'i have to take my sidekick back ',negative
266,'username congrats im totally jealous only wish my xm was working ',negative
267,'gr8t my face is very itchy ',negative
268,'poor socks  luvv the golden retriever i want one sighh',negative
269,'i just saw that they found that tracy girl in a piece of luggage how fucking terrible ',negative
270,'aaand the nausea is back ',negative
271,'username ooh im excited and not even going 2 be there  long love youtube',negative
272,'spent 1 hour to reach to axis bank only to find out today is holiday for mahavir jayanti  contd',negative
273,'username  i agree the jobros dont update theres very often ',negative
274,'username it is hilarious and i linked the clip from lj some time ago but when i went back just now it was a dead link ',negative
275,'username oo who with im not neither but thats because i need to study  ',negative
276,'havent tweeted nearly all day  posted my website tonight hopefully that goes well  night time',negative
277,'username i miss bentley ',negative
278,'seriously needs to finish these job applications ',negative
279,'my son vincas is sick so i stay at home  just three tense days at work and i am back on holiday with kids',negative
280,'whinging my clientampboss dont understand english well rewrote some text unreadable its written by v good writerampreviewed correctly ',negative
281,'username i dont want him to ever punch me  ',negative
282,'soo sick of the snow  ughh',negative
283,'username  ',negative
284,'username it doesnt work your fan is upset ',negative
285,'i would like to apologize for the repeated video games live related tweets i am going to have a stern discussion with koodo soon stern ',negative
286,'username but i cant figure out how to get there  back  pay for a hotel etc ',negative
287,'fml so much for seniority bc of technological ineptness i now have to quotregisterquot for classes again ',negative
288,'feels like she slept the day away    not looking forward to any more bouts with my gallbladder  at least i have pills now for the pain',negative
289,'username but what i really want is my old bass back ',negative
290,'mad tired today callin it in early tonight  nighty night twittas',negative
291,'username take it easy and be good to you ',negative
292,'im afraid i had bad code ',negative
293,'think im going to bed goodniight i hate this ',negative
294,'username  im here friend and i love you',negative
295,'username  all this time you didnt notice i was gonejust needed db2 is it',negative
296,'username is in the bathroom and i have to pee    ',negative
297,'username but i wanted a margarita too ',negative
298,'username yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough',negative
299,'just called hillsong again  they said they couldnt tell me where i was on the waiting list  i dont know if its looking so good ',negative
300,'why does brissa not even know she has a twitter lauren ',positive
301,'username i thought it was a great love story ',positive
302,'username no thats just the mirror youre looking in ',positive
303,'username thanks  i couldnt have done it without you  ',positive
304,'wow that was neat thanks god overitnowlt3  i apologize for sharing my spiritual moment with the general public of twitter ',positive
305,' 31 days until i leave for ontario ',positive
306,'just spoke with my fam in japan via skype love to see my little 16moold nephew growing ',positive
307,'username ahh i only just saw youd written that where does it tell you that someones spoken to you this sucks but mcfly got it haha loser ',positive
308,'username holy laundry woman ',positive
309,'username i hate it too but i just got back from the trainer go ',positive
310,'username lol youre so fucking funny ',positive
311,'working on setting up my ipod touch which as of today is officially mine ',positive
312,'username saw the tvc yesterday worked for me ',positive
313,'jon could totally say mannies and peddies and i would shut my fat face about it  ',positive
314,'username hahaha well if they ever run out of ideas im nominating you to come up with some good ones ',positive
315,'a friend feels like a beer on a monday night thats never good but beer is always good always ',positive
316,'username one usually follows the other no ',positive
317,'username thanks special 72  ',positive
318,'good luck for lauren and the rest of the cast of tbs cant wait for something to leak ',positive
319,'shoot for the moon even if you miss youll land among the stars ',positive
320,'username hmm that i dont agree with entirely because i am most creative amp vibrant  night for some reasonbut i need 2 sleep too ',positive
321,'username nada just tryna holla holla   hows the mixtape coming up',positive
322,'username  yep it makes it so much easier to get points across in 140 ',positive
323,'username  the freezerworthy username has already given it her scholarly attention but i suppose another set of eyes could hurt not',positive
324,'url  my cupcakes ',positive
325,'username and its a wonderful thing  im all in favor of using the entire english language shit i use expletives too i think ',positive
326,'username haha im not saying u should try it but maybe u should ',positive
327,'back from school long walk its flippin cold outside  2 days ago it was sunny next day raining and today snowing',positive
328,'username i just ate raw cookie dough out of a tub and now to bed we must be kindred spirits ',positive
329,'username  agreed internet random but i like random watched dirty dancing great movie i thought of your song  nighty night',positive
330,'username just use tweetdeck and you can update facebook and twitter at the same time ',positive
331,'username  dude stars are always awesome    surprised to see you tweeting',positive
332,'username k ill try to figure it out im gonna go to bed night night  ',positive
333,'amazing night with llama and malcolm and meganltfuck the theatre ',positive
334,'username just had a martini myself ',positive
335,'city all day soo happy to be home school in the morning ',positive
336,'my spring break watching moviess all day everyday for a week ',positive
337,'username quotgrandpa wants an ice chest and some beefquot  george lopez ruless',positive
338,'username thank you katie heading to the club as we speak you have yourself a stellar night as well take it easy homey ',positive
339,'url where have all the flowers gone peter paul amp mary  my fav def',positive
340,'shhtime to watch the hills ',positive
341,'since posting the 2 new photos on my website with the kids my hit count went upway way way up love to china for 500 views alone ',positive
342,'username oh its real jon  we all r so excited that u and the guys came back 4 us  we appreciate all you put out there  ',positive
343,'username thank you am at home pretty much everywhere provided i have broadband kiddin ',positive
344,'callin it a night i always have the best sleep after a good workout ',positive
345,'username feels pretty good doesnt it ',positive
346,'username but you did go to hash bash anyway ',positive
347,'username correction i got a badass fringe ',positive
348,'username hmm sure sure  so what r u upto  hows the day for u',positive
349,'username i agree  my kids got quotwho am iquot 4 christmas its bn fun but i caught my 4 yrold cheating by looking at reflection in tv',positive
350,'my hair is blue ',positive
351,'username thank you for the kind words  i appreciate it  have a great night ',positive
352,'stressing over this math testuhh2 days till spring break ',positive
353,'username uh because we really need each other plus youd be my designated driver on pch ',positive
354,'username whatcha chucklin bout msyen ',positive
355,'username the gym is an awesome place work it out ',positive
356,'username hmm think we need to get you climbing up hills  youll be really sining then ',positive
357,'just won 20 on unc game ',positive
358,'really tired going to prepare for bed gnight ',positive
359,'username the new story of your life will include magic fountain with me ',positive
360,'im getting nervous that this trip tomorrow may be a little boring haha oh well i always have my trusty ipod and my books of course  lol',positive
361,'should be going to bed maybe ill do that but im thinking ill put on anastasia on my laptop as i fall asleep ',positive
362,'username url  i love ur top ',positive
363,'still buzzing from sietar thanks to username for pushing the old boundaries  boy someone could make money off a twitter manual ',positive
364,'username i have terrible back and neck aches too get a good chair that will help  i am waiting for my quotswopperquot to arrive ',positive
365,'username hellz yeah definitely downloading thanks ',positive
366,'url  we are so stinkin cute ',positive
367,'username hahah not yet but soon very soon ',positive
368,'very happy with my new blog design  nice to see recent post and popular posts listed together and it looks great ',positive
369,'username we have much more than that in common my friend ',positive
370,'username better be i dont wanna have to come find u and save the dog but i would  im all 4 the animals  call off the twit police',positive
371,'username nilagyan mo ng knorr seasoning mix ulit ung pancakes mo hehehe teka heaven and eggs ba to ',positive
372,'username hello westney  what are you doing  x',positive
373,'username well my night seems pretty boring in comparison to the strokes youve experienced tonight ',positive
374,'username i love the way you draw giraffe eyelashes ',positive
375,'username ahh shiner bock in austin yes thanks for the twitter username so i can relive too ',positive
376,'username glad to read it ',positive
377,'spent the evening outside in the beautiful warm weather finally feels like spring ',positive
378,'pullin an all nighter wit my bffl madison ',positive
379,'username thanks for putting on such a great event cant wait for the inevitable sequels ',positive
380,'i dont know why i still find this hilarious after hearing it like 200 times in a row but i doo   url',positive
381,'username you are too ',positive
382,'username that big oaf can play piano ',positive
383,'bryon is my tea bitch ',positive
384,'username oh they can stay you on the other hand ',positive
385,'i am gonna help my mom get a twitter ',positive
386,'username yup saw the entire matchreached office late ',positive
387,'going to bed my bb isnt working amp im bored  night all love me harder tomorrow than you did today peace prayers amp blessings',positive
388,'username ya we did trying to beat traffic but ya hope to be back soon ',positive
389,'india wins a test series in new zealand after 41 years if it wasnt for rain on the final day india would have won the third test too ',positive
390,'username was driving in old madras road on my bike there is no concept called parking on the side ',positive
391,'username can i apply to be in your class too ',positive
392,'is reading manga  url',positive
393,'username thanksit seemed the right moment i love your show  your songs bring me joy',positive
394,'username roflmao niqqa please you ackin a fool now ',positive
395,'username url  url ',positive
396,'username also your website seems to be down fyi pity i wanted to check it out  sure you knew that though',positive
397,'username so lets make it right ',positive
398,'username we went professional in october 2008 weve just not update any of our websites or anything until yesterday ',positive
399,'username thanks for the tip on sams club ',positive
400,'username yep mornings are the best nighttime is chill time ',positive
401,'username yay hehe twins ',positive
402,'username thank you ',positive
403,'quotcity of emberquot was awesome so have to finish the book and read the next one ones now  time for bed possibly who knows really xd',positive
404,'omg i would have died actually no i take that backi keep an updated version on my xdrive so its all good ',positive
405,'username you and i mate ',positive
406,' just watched the movie wanted it was pretty darn good',positive
407,'just got home from neils watched nick amp noras playlist pretty funny  ',positive
408,'username ah yes twitter seems to be the perfect venue for whining and wasting time  now thats my idea of fun ',positive
409,'username hell yeah theres the effin man ',positive
410,'username dont be lazytry a few out tools are to make life easy for lazy people ',positive
411,'username oh goodness i didnt know you could message friends on here hello ai ',positive
412,'thinks everyone needs to go buy tina parols song whos got your money on itunes  now ',positive
413,'cant wait for vegas ',positive
414,'username hey debby ',positive
415,'one sixty six in bowling holy shit lol ',positive
416,'dear dbq you were a pain in the ass im glad im done with you ',positive
417,'and now off to bed after an amazing night chatting with a pretty amazing guy   you know who you are',positive
418,'username what a coincidence i was just stalking your twitter feed and the gsoc news  im doing great thanks how about you ',positive
419,'has discovered that she loves easter crafts eggs hot cross buns feel like watching the prince of egypt to aid my easter meditations ',positive
420,'didnt get my nap before thinking i really need one now be back later twitterpeeps ',positive
421,'trying to figure out a way to pay it forward ',positive
422,'oh oh oh gonna go buy twilight on dvd today  i have to extend my overdraft for the 2nd time in as many weeks so i may aswell',positive
423,'my very first twitter  aww',positive
424,'username glad you like ',positive
425,'username woo you wont regret it ',positive
426,'username thanks so much ',positive
427,' please url',positive
428,'username haha i saw that one the other day sad im entirely too addicted to that site now endless laughs ',positive
429,'username this is nuts thanks  i am dying over heah',positive
430,'username hey mark i want to know if the song quotlifes so boringquot is really blink 182  please tell me  doubt been on my head for years',positive
431,'username by jordan i think hes got it  ',positive
432,'up and running london calling ',positive
433,'what a day  i just loved it sun food and my girls  cannot be beaten eyy i bused it home too hahaa have an ace time darl  xx',positive
434,'just got home from school  meant to be getting my hair cut  but i cbf lol dancing soon ',positive
435,'sleep then an interview tomorrow wish me luck ',positive
436,'awwh babs you look so sad underneith that shop entrance of quotyesterdays musikquot  o i like the look of the new transformer movie ',positive
437,'username i just friended you on lj ',positive
438,'eating ice cream to reduce the heat ',positive
439,'wow san diego is so beautiful even more so now that we won  but whats a good game without a good fight',positive
440,'username username doing a disciplinary phd with the supportstructure of a new media program like that sounds heavenly ',positive
441,'must sleep big day tomorrow two tests and class registration for next sem ahh goodnight twitterers ',positive
442,'username ive seen one of those aisles in borders in oxford theyre well tragic ',positive
443,'username erin esurance is so hot carry on ',positive
444,'username not there yet and i beleive so  red carpet sighting i hope',positive
445,'the cars in fast and furious get me excited ',positive
446,'username jennifer ',positive
447,'username walle is a great battle for stress   yay for staying up all night and doing homework together',positive
448,'its been a while since i have watched the cosby show i forgot how funny it was  but cant sleep though grr',positive
449,'username hehe thanks   was going for the incendiary headline this time ',positive
450,'username happy morning ',positive
451,'username um my kids get up at 5am amp need their breakfasts cooked you ready ',positive
452,'username i wasnt late  i was right on time',positive
453,'username thanks buddy high fives hehe ',positive
454,'username could not agree morethe unisonamp committment was incredibleconsidering the pressure they r under made it all the more amazing ',positive
455,'username lol you counted 15 times yeah it was a drag todaywasnt sure if my tweets were going out seems to behave now though ',positive
456,'username url  and you are cooler than her she just wants the babiiess o_o hahahaha ',positive
457,'username heyy want to hook it up lol ',positive
458,'saddle ranch comedy night then back to the boys house ',positive
459,'today i performed for the first and last time at the grebel talent show 4 exams left until undergrad is over ',positive
460,'username white ',positive
461,'username haha sarapan aja belum kok udah disamperin sama client di rumah  ',positive
462,'username  i do embrace the simple life  simple things like a new kids reunion makes me an extremely happy girl ',positive
463,'username need to send em to my accountant tomorrow oddly i wasnt even referring to my taxes those are supporting evidence though ',positive
464,'username sigh wish i could have a gmic meeting here in san diego spoke to johanna already she said it was great ',positive
465,'had a wonderful portland evening thanks carrie ',positive
466,'637 in the morning and havent been sleep   yay',positive
467,'headed off to walmart for more boxes uber excited ',positive
468,'username scowls are a lot more temporary than adulthood ',positive
