@relation cpu-weka.filters.unsupervised.attribute.AddID-Cfirst-NID

@attribute ID numeric
@attribute vendor {adviser,amdahl,apollo,basf,bti,burroughs,c.r.d,cdc,cambex,dec,dg,formation,four-phase,gould,hp,harris,honeywell,ibm,ipl,magnuson,microdata,nas,ncr,nixdorf,perkin-elmer,prime,siemens,sperry,sratus,wang}
@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
112,ibm,900,2000,4000,0,3,6,28
113,ibm,225,2000,4000,8,3,6,31
114,ibm,225,2000,4000,8,3,6,31
115,ibm,180,2000,8000,8,1,6,42
116,ibm,185,2000,16000,16,1,6,76
117,ibm,180,2000,16000,16,1,6,76
118,ibm,225,1000,4000,2,3,6,26
119,ibm,25,2000,12000,8,1,4,59
120,ibm,25,2000,12000,16,3,5,65
121,ibm,17,4000,16000,8,6,12,101
122,ibm,17,4000,16000,32,6,12,116
123,ibm,1500,768,1000,0,0,0,18
124,ibm,1500,768,2000,0,0,0,20
125,ibm,800,768,2000,0,0,0,20
126,ipl,50,2000,4000,0,3,6,30
127,ipl,50,2000,8000,8,3,6,44
128,ipl,50,2000,8000,8,1,6,44
129,ipl,50,2000,16000,24,1,6,82
130,ipl,50,2000,16000,24,1,6,82
131,ipl,50,8000,16000,48,1,10,128
132,magnuson,100,1000,8000,0,2,6,37
133,magnuson,100,1000,8000,24,2,6,46
134,magnuson,100,1000,8000,24,3,6,46
135,magnuson,50,2000,16000,12,3,16,80
136,magnuson,50,2000,16000,24,6,16,88
137,magnuson,50,2000,16000,24,6,16,88
138,microdata,150,512,4000,0,8,128,33
139,nas,115,2000,8000,16,1,3,46
140,nas,115,2000,4000,2,1,5,29
141,nas,92,2000,8000,32,1,6,53
142,nas,92,2000,8000,32,1,6,53
143,nas,92,2000,8000,4,1,6,41
144,nas,75,4000,16000,16,1,6,86
145,nas,60,4000,16000,32,1,6,95
146,nas,60,2000,16000,64,5,8,107
147,nas,60,4000,16000,64,5,8,117
148,nas,50,4000,16000,64,5,10,119
149,nas,72,4000,16000,64,8,16,120
150,nas,72,2000,8000,16,6,8,48
151,nas,40,8000,16000,32,8,16,126
152,nas,40,8000,32000,64,8,24,266
153,nas,35,8000,32000,64,8,24,270
154,nas,38,16000,32000,128,16,32,426
155,nas,48,4000,24000,32,8,24,151
156,nas,38,8000,32000,64,8,24,267
157,nas,30,16000,32000,256,16,24,603
158,ncr,112,1000,1000,0,1,4,19
159,ncr,84,1000,2000,0,1,6,21
160,ncr,56,1000,4000,0,1,6,26
161,ncr,56,2000,6000,0,1,8,35
162,ncr,56,2000,8000,0,1,8,41
163,ncr,56,4000,8000,0,1,8,47
164,ncr,56,4000,12000,0,1,8,62
165,ncr,56,4000,16000,0,1,8,78
166,ncr,38,4000,8000,32,16,32,80
167,ncr,38,4000,8000,32,16,32,80
168,ncr,38,8000,16000,64,4,8,142
169,ncr,38,8000,24000,160,4,8,281
170,ncr,38,4000,16000,128,16,32,190
171,nixdorf,200,1000,2000,0,1,2,21
172,nixdorf,200,1000,4000,0,1,4,25
173,nixdorf,200,2000,8000,64,1,5,67
174,perkin-elmer,250,512,4000,0,1,7,24
175,perkin-elmer,250,512,4000,0,4,7,24
176,perkin-elmer,250,1000,16000,1,1,8,64
177,prime,160,512,4000,2,1,5,25
178,prime,160,512,2000,2,3,8,20
179,prime,160,1000,4000,8,1,14,29
180,prime,160,1000,8000,16,1,14,43
181,prime,160,2000,8000,32,1,13,53
182,siemens,240,512,1000,8,1,3,19
183,siemens,240,512,2000,8,1,5,22
184,siemens,105,2000,4000,8,3,8,31
185,siemens,105,2000,6000,16,6,16,41
186,siemens,105,2000,8000,16,4,14,47
187,siemens,52,4000,16000,32,4,12,99
188,siemens,70,4000,12000,8,6,8,67
189,siemens,59,4000,12000,32,6,12,81
190,siemens,59,8000,16000,64,12,24,149
191,siemens,26,8000,24000,32,8,16,183
192,siemens,26,8000,32000,64,12,16,275
193,siemens,26,8000,32000,128,24,32,382
194,sperry,116,2000,8000,32,5,28,56
195,sperry,50,2000,32000,24,6,26,182
196,sperry,50,2000,32000,48,26,52,227
197,sperry,50,2000,32000,112,52,104,341
198,sperry,50,4000,32000,112,52,104,360
199,sperry,30,8000,64000,96,12,176,919
200,sperry,30,8000,64000,128,12,176,978
201,sperry,180,262,4000,0,1,3,24
202,sperry,180,512,4000,0,1,3,24
203,sperry,180,262,4000,0,1,3,24
204,sperry,180,512,4000,0,1,3,24
205,sperry,124,1000,8000,0,1,8,37
206,sperry,98,1000,8000,32,2,8,50
207,sratus,125,2000,8000,0,2,14,41
208,wang,480,512,8000,32,0,0,47
209,wang,480,1000,4000,0,0,0,25
