@RELATION sentiment

@ATTRIBUTE tweet string
@ATTRIBUTE polarity {negative, positive}

@DATA
'staying at a friends househouse sitting neighbors are so loudhaving a party ', negative
'username danny im upset that i wasnt here to watch the live chat  i was in a car for 3 hours on a trip im soo upset', negative
'check out my mug  url', negative
'borders closed at 10 ', negative
'downloading nins new album quotthe slipquot  when the hell did this come out im so behind the times these days ', negative
'just woke up an already have written some email ive to go early at university today as i have to teach at 830 am ', negative
'is watching the hill   and its making me sad ', negative
'so many channels yet so so boring lazy day again  may have to find a hobby', negative
'username i miss my buddy  ill be in ny on the 25th', negative
'username  love the french i tell people here in the south im qtr french and they snarl at me  french are beautiful people', negative
'opps as i said i still got one day remain and now problem come ', negative
'i activated my selfcontrol block early meaning i cant check out the new qc  regularizing my internal clock is might be difficult fb', negative
'username  oh no', negative
'spencer is not a good guy ', negative
'username what about reese dying on ttsc and season finale next week  24 boring madame president is a crazy woman', negative
'username i hate the limited letterstoohope you and the guys are finei pray for my dogshes not well ', negative
'didnt get shit done today  im so screwed ', negative
'wanttss to go out ', negative
'is not going to sleep tonite ', negative
'too worried and tired to post tonight ', negative
'couldnt get shit done today  im so screwed ', negative
'job interview in cardiff today wish me luck got about 3 hours sleep ', negative
'username your show is whack way worse than whack its wiggetywhack    ', negative
'username i really dont think people choose to be that way but i think he chose not to accept my familys help   he might be dead by now', negative
'username youre going to kill me but ive not seen ds9 ive been waiting till i can do it in one solid week sitting ', negative
'username i think ur right hahaha 45 hrs now ', negative
'i hate to see the spartans so sad ', negative
'my mind and body are severely protesting this quotgetting upquot  thing had nightmares to boot ', negative
'username im goin to follow u since u didnt  lol  go angels', negative
'username ', negative
'username i think i want to read some books but the library doesnt have them ', negative
'my nap was interrupted so many times today  going out for japanese with the rents again', negative
'kind of longs for the bus that shows up at the end of ghost world right now ugh ', negative
'username but this is canada  canada is weird were supposed to get snow through wednesday ugh', negative
'awwh babs you look so sad underneith that shop entrance of quotyesterdays musikquot  o i like the look of the new transformer movie ', negative
'sad that the feet of my macbook just fell off ', negative
'im gonna get up late tomorrow and its 132am here i gonna get tipsy by my lonesome thatsthats just sad ', negative
'im sweating my forthcoming trip to e3  if i cant find someone to crash with while im out there i may be screwed  ', negative
'has now gotten somebody to read his tweets but cant get them to make an account ', negative
'username  omgawd i couldnt handle my cat being in heat all the time d d', negative
'username i hope i can make it to the auburn show but its not looking good for me ', negative
'username thats people mag haha i couldnt fit it all in i dont think those pictures ever made it in the magazine tho  haha', negative
'username congrats  i totally forgot to submit photos ', negative
'username aww good luck paula please dont work too hard  but i hope you have fun  your new album is gonna be amazing  xx', negative
'username now your leaving me   gets sad', negative
'i miss you twitter my phone broke now im using a stupid nokia phone ughh i miss my advance phone ', negative
'shooting outside my house o not kidding so scared ', negative
'tuesdayll start with reflection n then a lecture in stress reducing techniques that sure might become very useful for us accompaniers ', negative
'what tragedy and disaster in the news this week ', negative
'yes yes still trying to find a picture that will upload correclty ', negative
'why oh why was the red sox game rained out i was so looking forward to opening day ', negative
'i still cant find my keys ', negative
'username i know right i dunno what is going on with twitter ', negative
'might be getting a sore throat again ', negative
'username   my home town my mammy called all depressd  pls explain y a parent let their 8yr old child walk alone hello its 2009', negative
'username  i think i need to find better antidepressants  i think this paxilwellbutrin combo is losing its efficacy  ', negative
'username restaurant called woodntap has competitive eating tourney round tourney time we place 2nd ', negative
'is in the bathroom wake up lakin ', negative
'username i want tacos and margarhitas  tell gay i say hellolt3', negative
'im lonely  keep me company 22 female california', negative
'bad day at the betfair office ', negative
'i miss him  cant wait to celebrate the tar heel win this weekend though', negative
'im really cold i dont want to go to sleep yet but theres nothing to do ', negative
'username is this it 4 u its  officially over  4 me this go round ', negative
'monkeys i just found out you my twin and you wont even write back  im heartbroken', negative
'username aww  i know i felt like that yesterday at work ', negative
'username treaty isnt defined ', negative
'missed brent at praise band   no fun to not have the your lead guitarist  ltpoutgt', negative
'username poor john  this is what happens when you play with fruit and a microwave seriously though have you seen a doctor xxx', negative
'missing my bff  watching home and away it reminds me of her and me  we lt3 it shout out to u courts', negative
'username   ', negative
'new video card is doa ', negative
'feeling lost naked and confused jk sort ofno iphone for me ', negative
'damn i am so late at filling this appraisal form people have almost sent it  i was so occupied in work ', negative
'missed brent at praise band  no fun to not have your lead guitarist ltpoutgt', negative
'i think to much on the past i cant change it i deserved so much more then wat i got but why am i still thinking about him  gah', negative
'has lost his ring its nowhere to be seen ', negative
'username oooh sealclap see i download shitloads of zip folders off 4chan i have no internet moneys  fuck yeah alicia amp mikey', negative
'is still nursing my nile but glad he is feeling better i hate when my baby is sick ', negative
'is fucked to go back to ic ', negative
'username yoyoyo my internet has been rude tonight it just reconnected and im about to go to bed ', negative
'username well i have uni stuff and netball  but after netbal if ive done uni stuff we can', negative
'username me too i is poor ', negative
'help me forget 8th april amp 13th july ', negative
'dierks bentley is comin to columbus oh i wanna go so bad ', negative
'i have to take my sidekick back ', negative
'username congrats im totally jealous only wish my xm was working ', negative
'gr8t my face is very itchy ', negative
'poor socks  luvv the golden retriever i want one sighh', negative
'i just saw that they found that tracy girl in a piece of luggage how fucking terrible ', negative
'aaand the nausea is back ', negative
'username ooh im excited and not even going 2 be there  long love youtube', negative
'spent 1 hour to reach to axis bank only to find out today is holiday for mahavir jayanti  contd', negative
'username  i agree the jobros dont update theres very often ', negative
'username it is hilarious and i linked the clip from lj some time ago but when i went back just now it was a dead link ', negative
'username oo who with im not neither but thats because i need to study  ', negative
'havent tweeted nearly all day  posted my website tonight hopefully that goes well  night time', negative
'username i miss bentley ', negative
'seriously needs to finish these job applications ', negative
'my son vincas is sick so i stay at home  just three tense days at work and i am back on holiday with kids', negative
'whinging my clientampboss dont understand english well rewrote some text unreadable its written by v good writerampreviewed correctly ', negative
'username i dont want him to ever punch me  ', negative
'soo sick of the snow  ughh', negative
'username  ', negative
'username it doesnt work your fan is upset ', negative
'i would like to apologize for the repeated video games live related tweets i am going to have a stern discussion with koodo soon stern ', negative
'username but i cant figure out how to get there  back  pay for a hotel etc ', negative
'fml so much for seniority bc of technological ineptness i now have to quotregisterquot for classes again ', negative
'feels like she slept the day away    not looking forward to any more bouts with my gallbladder  at least i have pills now for the pain', negative
'username but what i really want is my old bass back ', negative
'mad tired today callin it in early tonight  nighty night twittas', negative
'username take it easy and be good to you ', negative
'im afraid i had bad code ', negative
'think im going to bed goodniight i hate this ', negative
'username  im here friend and i love you', negative
'username  all this time you didnt notice i was gonejust needed db2 is it', negative
'username is in the bathroom and i have to pee    ', negative
'username but i wanted a margarita too ', negative
'username yup night workouts r the worst but unfortunetly my work schedule only allows me to go at night  its tough', negative
'just called hillsong again  they said they couldnt tell me where i was on the waiting list  i dont know if its looking so good ', negative
'why does brissa not even know she has a twitter lauren ', positive
'username i thought it was a great love story ', positive
'username no thats just the mirror youre looking in ', positive
'username thanks  i couldnt have done it without you  ', positive
'wow that was neat thanks god overitnowlt3  i apologize for sharing my spiritual moment with the general public of twitter ', positive
' 31 days until i leave for ontario ', positive
'just spoke with my fam in japan via skype love to see my little 16moold nephew growing ', positive
'username ahh i only just saw youd written that where does it tell you that someones spoken to you this sucks but mcfly got it haha loser ', positive
'username holy laundry woman ', positive
'username i hate it too but i just got back from the trainer go ', positive
'username lol youre so fucking funny ', positive
'working on setting up my ipod touch which as of today is officially mine ', positive
'username saw the tvc yesterday worked for me ', positive
'jon could totally say mannies and peddies and i would shut my fat face about it  ', positive
'username hahaha well if they ever run out of ideas im nominating you to come up with some good ones ', positive
'a friend feels like a beer on a monday night thats never good but beer is always good always ', positive
'username one usually follows the other no ', positive
'username thanks special 72  ', positive
'good luck for lauren and the rest of the cast of tbs cant wait for something to leak ', positive
'shoot for the moon even if you miss youll land among the stars ', positive
'username hmm that i dont agree with entirely because i am most creative amp vibrant  night for some reasonbut i need 2 sleep too ', positive
'username nada just tryna holla holla   hows the mixtape coming up', positive
'username  yep it makes it so much easier to get points across in 140 ', positive
'username  the freezerworthy username has already given it her scholarly attention but i suppose another set of eyes could hurt not', positive
'url  my cupcakes ', positive
'username and its a wonderful thing  im all in favor of using the entire english language shit i use expletives too i think ', positive
'username haha im not saying u should try it but maybe u should ', positive
'back from school long walk its flippin cold outside  2 days ago it was sunny next day raining and today snowing', positive
'username i just ate raw cookie dough out of a tub and now to bed we must be kindred spirits ', positive
'username  agreed internet random but i like random watched dirty dancing great movie i thought of your song  nighty night', positive
'username just use tweetdeck and you can update facebook and twitter at the same time ', positive
'username  dude stars are always awesome    surprised to see you tweeting', positive
'username k ill try to figure it out im gonna go to bed night night  ', positive
'amazing night with llama and malcolm and meganltfuck the theatre ', positive
'username just had a martini myself ', positive
'city all day soo happy to be home school in the morning ', positive
'my spring break watching moviess all day everyday for a week ', positive
'username quotgrandpa wants an ice chest and some beefquot  george lopez ruless', positive
'username thank you katie heading to the club as we speak you have yourself a stellar night as well take it easy homey ', positive
'url where have all the flowers gone peter paul amp mary  my fav def', positive
'shhtime to watch the hills ', positive
'since posting the 2 new photos on my website with the kids my hit count went upway way way up love to china for 500 views alone ', positive
'username oh its real jon  we all r so excited that u and the guys came back 4 us  we appreciate all you put out there  ', positive
'username thank you am at home pretty much everywhere provided i have broadband kiddin ', positive
'callin it a night i always have the best sleep after a good workout ', positive
'username feels pretty good doesnt it ', positive
'username but you did go to hash bash anyway ', positive
'username correction i got a badass fringe ', positive
'username hmm sure sure  so what r u upto  hows the day for u', positive
'username i agree  my kids got quotwho am iquot 4 christmas its bn fun but i caught my 4 yrold cheating by looking at reflection in tv', positive
'my hair is blue ', positive
'username thank you for the kind words  i appreciate it  have a great night ', positive
'stressing over this math testuhh2 days till spring break ', positive
'username uh because we really need each other plus youd be my designated driver on pch ', positive
'username whatcha chucklin bout msyen ', positive
'username the gym is an awesome place work it out ', positive
'username hmm think we need to get you climbing up hills  youll be really sining then ', positive
'just won 20 on unc game ', positive
'really tired going to prepare for bed gnight ', positive
'username the new story of your life will include magic fountain with me ', positive
'im getting nervous that this trip tomorrow may be a little boring haha oh well i always have my trusty ipod and my books of course  lol', positive
'should be going to bed maybe ill do that but im thinking ill put on anastasia on my laptop as i fall asleep ', positive
'username url  i love ur top ', positive
'still buzzing from sietar thanks to username for pushing the old boundaries  boy someone could make money off a twitter manual ', positive
'username i have terrible back and neck aches too get a good chair that will help  i am waiting for my quotswopperquot to arrive ', positive
'username hellz yeah definitely downloading thanks ', positive
'url  we are so stinkin cute ', positive
'username hahah not yet but soon very soon ', positive
'very happy with my new blog design  nice to see recent post and popular posts listed together and it looks great ', positive
'username we have much more than that in common my friend ', positive
'username better be i dont wanna have to come find u and save the dog but i would  im all 4 the animals  call off the twit police', positive
'username nilagyan mo ng knorr seasoning mix ulit ung pancakes mo hehehe teka heaven and eggs ba to ', positive
'username hello westney  what are you doing  x', positive
'username well my night seems pretty boring in comparison to the strokes youve experienced tonight ', positive
'username i love the way you draw giraffe eyelashes ', positive
'username ahh shiner bock in austin yes thanks for the twitter username so i can relive too ', positive
'username glad to read it ', positive
'spent the evening outside in the beautiful warm weather finally feels like spring ', positive
'pullin an all nighter wit my bffl madison ', positive
'username thanks for putting on such a great event cant wait for the inevitable sequels ', positive
'i dont know why i still find this hilarious after hearing it like 200 times in a row but i doo   url', positive
'username you are too ', positive
'username that big oaf can play piano ', positive
'bryon is my tea bitch ', positive
'username oh they can stay you on the other hand ', positive
'i am gonna help my mom get a twitter ', positive
'username yup saw the entire matchreached office late ', positive
'going to bed my bb isnt working amp im bored  night all love me harder tomorrow than you did today peace prayers amp blessings', positive
'username ya we did trying to beat traffic but ya hope to be back soon ', positive
'india wins a test series in new zealand after 41 years if it wasnt for rain on the final day india would have won the third test too ', positive
'username was driving in old madras road on my bike there is no concept called parking on the side ', positive
'username can i apply to be in your class too ', positive
'is reading manga  url', positive
'username thanksit seemed the right moment i love your show  your songs bring me joy', positive
'username roflmao niqqa please you ackin a fool now ', positive
'username url  url ', positive
'username also your website seems to be down fyi pity i wanted to check it out  sure you knew that though', positive
'username so lets make it right ', positive
'username we went professional in october 2008 weve just not update any of our websites or anything until yesterday ', positive
'username thanks for the tip on sams club ', positive
'username yep mornings are the best nighttime is chill time ', positive
'username yay hehe twins ', positive
'username thank you ', positive
'quotcity of emberquot was awesome so have to finish the book and read the next one ones now  time for bed possibly who knows really xd', positive
'omg i would have died actually no i take that backi keep an updated version on my xdrive so its all good ', positive
'username you and i mate ', positive
' just watched the movie wanted it was pretty darn good', positive
'just got home from neils watched nick amp noras playlist pretty funny  ', positive
'username ah yes twitter seems to be the perfect venue for whining and wasting time  now thats my idea of fun ', positive
'username hell yeah theres the effin man ', positive
'username dont be lazytry a few out tools are to make life easy for lazy people ', positive
'username oh goodness i didnt know you could message friends on here hello ai ', positive
'thinks everyone needs to go buy tina parols song whos got your money on itunes  now ', positive
'cant wait for vegas ', positive
'username hey debby ', positive
'one sixty six in bowling holy shit lol ', positive
'dear dbq you were a pain in the ass im glad im done with you ', positive
'and now off to bed after an amazing night chatting with a pretty amazing guy   you know who you are', positive
'username what a coincidence i was just stalking your twitter feed and the gsoc news  im doing great thanks how about you ', positive
'has discovered that she loves easter crafts eggs hot cross buns feel like watching the prince of egypt to aid my easter meditations ', positive
'didnt get my nap before thinking i really need one now be back later twitterpeeps ', positive
'trying to figure out a way to pay it forward ', positive
'oh oh oh gonna go buy twilight on dvd today  i have to extend my overdraft for the 2nd time in as many weeks so i may aswell', positive
'my very first twitter  aww', positive
'username glad you like ', positive
'username woo you wont regret it ', positive
'username thanks so much ', positive
' please url', positive
'username haha i saw that one the other day sad im entirely too addicted to that site now endless laughs ', positive
'username this is nuts thanks  i am dying over heah', positive
'username hey mark i want to know if the song quotlifes so boringquot is really blink 182  please tell me  doubt been on my head for years', positive
'username by jordan i think hes got it  ', positive
'up and running london calling ', positive
'what a day  i just loved it sun food and my girls  cannot be beaten eyy i bused it home too hahaa have an ace time darl  xx', positive
'just got home from school  meant to be getting my hair cut  but i cbf lol dancing soon ', positive
'sleep then an interview tomorrow wish me luck ', positive
'awwh babs you look so sad underneith that shop entrance of quotyesterdays musikquot  o i like the look of the new transformer movie ', positive
'username i just friended you on lj ', positive
'eating ice cream to reduce the heat ', positive
'wow san diego is so beautiful even more so now that we won  but whats a good game without a good fight', positive
'username username doing a disciplinary phd with the supportstructure of a new media program like that sounds heavenly ', positive
'must sleep big day tomorrow two tests and class registration for next sem ahh goodnight twitterers ', positive
'username ive seen one of those aisles in borders in oxford theyre well tragic ', positive
'username erin esurance is so hot carry on ', positive
'username not there yet and i beleive so  red carpet sighting i hope', positive
'the cars in fast and furious get me excited ', positive
'username jennifer ', positive
'username walle is a great battle for stress   yay for staying up all night and doing homework together', positive
'its been a while since i have watched the cosby show i forgot how funny it was  but cant sleep though grr', positive
'username hehe thanks   was going for the incendiary headline this time ', positive
'username happy morning ', positive
'username um my kids get up at 5am amp need their breakfasts cooked you ready ', positive
'username i wasnt late  i was right on time', positive
'username thanks buddy high fives hehe ', positive
'username could not agree morethe unisonamp committment was incredibleconsidering the pressure they r under made it all the more amazing ', positive
'username lol you counted 15 times yeah it was a drag todaywasnt sure if my tweets were going out seems to behave now though ', positive
'username url  and you are cooler than her she just wants the babiiess o_o hahahaha ', positive
'username heyy want to hook it up lol ', positive
'saddle ranch comedy night then back to the boys house ', positive
'today i performed for the first and last time at the grebel talent show 4 exams left until undergrad is over ', positive
'username white ', positive
'username haha sarapan aja belum kok udah disamperin sama client di rumah  ', positive
'username  i do embrace the simple life  simple things like a new kids reunion makes me an extremely happy girl ', positive
'username need to send em to my accountant tomorrow oddly i wasnt even referring to my taxes those are supporting evidence though ', positive
'username sigh wish i could have a gmic meeting here in san diego spoke to johanna already she said it was great ', positive
'had a wonderful portland evening thanks carrie ', positive
'637 in the morning and havent been sleep   yay', positive
'headed off to walmart for more boxes uber excited ', positive
'username scowls are a lot more temporary than adulthood ', positive
'im melting sighs serendipity is such a sweet sweet movie i love it ', positive
'username wake up with ah jon tweet the best start for my day  thx jon love you', positive
'got an inspiration gt dyeing my hair ', positive
'just  created this accountlooking around ', positive
'username im gunna do both of those things ', positive
'url  so far it is interesting ', positive
'havent tweeted nearly all day  posted my website tonight hopefully that goes well  night time', positive
'username     thats a longtime good for you   ', positive
'username jizzin in my pants excited about seeing armin van buuren tomorrow ', positive
'username good luck and let me know how it goes ', positive
'username congrats from peru you wereare amazing i was speechlessthank u so much come here someday plz ill wait forever seriously ', positive
'username congrats on the newborn our first is due in june ', positive
'dodgers beat the padres  go blue', positive
'username lol esp when your updates hit my phone ', positive
'username im just glad you appreciate iowa    come back in late summer when theyre cutting hay  bestsmell ever', positive
'username  having fun loving life happy to be in the game everything else is a bonus not just bs either', positive
'username  aww is there anything i can do ', positive
'but i do not mind  goodnight', positive
'username oh lets let it be a surprise ', positive
'proud future member of the rb ', positive
'username heyy  you got those pictures of donnies gift on the usb stick ', positive
'giant drag quotwicked gamequot  url musicmonday  better than the original amp the commercial promo song for niptuck season 5 ', positive
'username fabulous post about wordahead  and overall loved your blog', positive
'much luv to username amp username whos now following me on twitter ', positive
'username username rocks but dont tell her i said that ', positive
'username if its something you will enjoy and will make you happy why not do it ', positive
'just discovered tonight that her church is serving breakfast on easter  im not sure why this is so exciting but i suspect the baby', positive
'username ', positive
'username morning ', positive
'finally back on twitter ', positive
'god sho love him some me  feeling really really blessed tonight', positive
'username i cant wait to see you buddy ', positive
'username thanks allan they are photos from a joolz soiree i held up in brisbane last year ', positive
'there is link about how to enjoy dark chocolate within the post  url', positive
'username if i know how to do something and have time its so easy to answer ', positive
'wow the house looks so differentand oh my god my doggies ', positive
'ahh loved this sunny dayi am working a good sun burn on my nose ', positive
'username i had to read it last semester  by quotreadquot i mean skim for keywords and read online outlines   got an a too ', positive
'username yay love boxnet  my first business partner sam ghods is on the founding team so proud of him 4 building an excellent utility', positive
